run,hour,wet_area_km2,volume_mil_m3,dz_median_m,dz_max_m,dV_dt_m3s,dV_dt_pct_inflow
baseline,81,237.8388,661.0375711483001,0.0032501220703125,1.4153366088867188,553.9810963736613,7.066085412929354
baseline,82,238.7156,662.9981669704438,0.00307464599609375,1.7472305297851562,544.609950595461,6.946555492289043
baseline,83,239.8194,664.921011296463,0.00286865234375,1.3043746948242188,534.1234238942308,6.812798774161107
baseline,84,240.8619,666.8201813030242,0.00267791748046875,1.4285621643066406,527.5472240447874,6.7289186740406555
baseline,85,241.6228,668.6849115184784,0.00247955322265625,1.2017440795898438,517.980615403941,6.606895604642105
baseline,86,242.3894,670.5184614189147,0.00231170654296875,1.2474594116210938,509.31941678786393,6.496421132498265
baseline,87,243.2201,672.3271810520172,0.0022125244140625,1.1653900146484375,502.42212030623375,6.408445412069308
baseline,88,243.8368,674.1096022464752,0.0020751953125,1.4158782958984375,495.1169984605662,6.315267837507223
baseline,89,244.5355,675.8594855064392,0.001983642578125,1.1288528442382812,486.0786833233356,6.1999832056547906
baseline,90,245.4007,677.6042156555176,0.00189208984375,1.68109130859375,484.6472636328751,6.181725301439734
baseline,91,246.0836,679.317946925354,0.00176239013671875,1.1959648132324219,476.03646384345666,6.071893671472662
baseline,92,246.7705,681.0108156124115,0.00164794921875,1.9856376647949219,470.24130196042006,5.9979757903114805
baseline,93,247.3693,682.6776622219086,0.00159454345703125,2.0244598388671875,463.01294708251186,5.9057773862565295
baseline,94,248.1044,684.3344789485932,0.00153350830078125,1.8443527221679688,460.2268685235029,5.870240669942639
baseline,95,248.9407,685.9732866733551,0.00146484375,1.70343017578125,455.2243679894256,5.806433265171245
baseline,96,249.9648,687.6064730644226,0.00139617919921875,1.2042617797851562,453.66288640764196,5.786516408260739
baseline,97,251.0497,689.2380510318756,0.00131988525390625,1.57916259765625,453.2161020702574,5.780817628447161
baseline,98,251.8382,690.8444087123871,0.00125885009765625,1.2418022155761719,446.21046680876793,5.691460035826122
baseline,99,252.393,692.4332253540039,0.00119781494140625,1.2908363342285156,441.33795600465146,5.629310663324636
baseline,100,252.9558,694.0057032096863,0.00116729736328125,1.5421829223632812,436.7994043562362,5.571420973931584
levees,0,0.0,0.0,,,,
levees,1,7.698,28.383674362945555,,,7884.353989707099,100.56573966463137
levees,2,13.1085,56.60727945022583,1.8997573852539062,7.711006164550781,7839.890302022299,99.99860079110074
levees,3,18.4833,84.83143338623047,1.2122268676757812,6.053367614746094,7840.042760001288,100.00054540817969
levees,4,24.8753,113.05153964004516,0.68670654296875,5.361083984375,7838.918403837414,99.98620413057925
levees,5,30.7692,141.27536594696045,0.34799957275390625,5.010337829589844,7839.951751920912,99.99938459082796
levees,6,37.8517,169.49714727859498,0.3657798767089844,5.248268127441406,7839.383703231814,99.99213907183436
levees,7,46.4177,197.72044634857178,0.33188629150390625,4.4683074951171875,7839.805297215778,99.99751654611963
levees,8,53.8575,225.9416971862793,0.26799774169921875,3.967620849609375,7839.236343807644,99.9902594873424
levees,9,61.4373,254.16275181236267,0.20468902587890625,4.4202423095703125,7839.181840578715,99.98956429309585
levees,10,69.322,282.38235233955385,0.17127227783203125,3.688373565673828,7838.777924219771,99.98441229872157
levees,11,75.6517,306.0135401058197,0.1853790283203125,3.600250244140625,6564.218823962733,83.727280917892
levees,12,79.9291,321.8953023376465,0.14046478271484375,2.0790252685546875,4411.600619951896,56.270416070815
levees,13,86.0182,334.8880175804138,0.10137176513671875,2.66302490234375,3609.0875674353624,46.03428019687962
levees,14,90.0663,346.1336195159912,0.09609222412109375,3.1448974609375,3123.778315438162,39.84411116630309
levees,15,93.9841,356.1197299636841,0.08428955078125,2.8950119018554688,2773.9195688035857,35.38162715310696
levees,16,96.8919,365.14011585121153,0.07920074462890625,2.0868911743164062,2505.662746535396,31.95998401193107
levees,17,99.1424,373.3916154685974,0.077484130859375,2.0669097900390625,2292.0832270516357,29.235755447087193
levees,18,101.6436,381.01642809944155,0.06427764892578125,4.4775543212890625,2118.0035085678146,27.015350874589473
levees,19,103.9042,388.1553151035309,0.0547943115234375,1.7327728271484375,1983.0241678025907,25.29367560972692
levees,20,106.5121,394.83163312568666,0.051349639892578125,2.5067367553710938,1854.532783932162,23.654754897093902
levees,21,107.944,401.0537692085266,0.047149658203125,1.7129364013671875,1728.3711341222051,22.04555018013017
levees,22,110.388,406.91883987693785,0.04012298583984375,1.712188720703125,1629.1862967809027,20.780437458940085
levees,23,111.7757,412.4608466899872,0.03623199462890625,2.3943710327148438,1539.4463369581501,19.63579511426212
levees,24,114.334,417.77861324768065,0.03321075439453125,1.8274002075195312,1477.1573771370722,18.84129307572796
levees,25,116.0861,422.8651301116943,0.029327392578125,1.7809600830078125,1412.9213511149096,18.021956009118746
levees,26,118.2598,427.7632521366119,0.02532958984375,2.644866943359375,1360.5894513659994,17.35445728783162
levees,27,119.981,432.49530757408144,0.02291107177734375,3.0667572021484375,1314.4598437415311,16.766069435478713
levees,28,122.073,437.0913274269104,0.02045440673828125,3.08636474609375,1276.6721813413856,16.284083945680937
levees,29,123.7966,441.5477831745148,0.0183868408203125,2.2835006713867188,1237.9043743345462,15.789596611410028
levees,30,125.4119,445.88508176727294,0.01639556884765625,4.142387390136719,1204.8051646550402,15.367412814477554
levees,31,127.4519,450.1179349357605,0.01483917236328125,2.0009307861328125,1175.7925468021015,14.99735391329211
levees,32,129.7019,454.255392817688,0.01367950439453125,1.6965484619140625,1149.293856090973,14.659360409323636
levees,33,131.4946,458.3037793674469,0.01293182373046875,1.6551132202148438,1124.5518193774728,14.343773206345316
levees,34,132.8356,462.2654686946869,0.01313018798828125,2.1249465942382812,1100.4692575666613,14.036597673044149
levees,35,135.0585,466.1554062984467,0.01444244384765625,1.5513381958007812,1080.5382232666084,13.782375296767965
levees,36,138.0216,470.00179658584597,0.01561737060546875,2.06622314453125,1068.441746499802,13.628083501272986
levees,37,140.7661,473.73096412849424,0.01526641845703125,2.1466522216796875,1035.8798729578527,13.212753481605263
levees,38,143.1384,477.3695971374512,0.01364898681640625,1.6730880737304688,1010.7313913769328,12.89198203286904
levees,39,145.5389,480.93806341819766,0.0131988525390625,1.7550735473632812,991.2406335406843,12.643375427814851
levees,40,147.5213,484.39465700569156,0.01250457763671875,1.5711898803710938,960.1648854149719,12.247001089476681
levees,41,149.8336,487.7529687088013,0.01204681396484375,2.0273056030273438,932.8643619749263,11.898780127231202
levees,42,152.1689,491.0269709415436,0.0113372802734375,1.5168304443359375,909.4450646506402,11.600064600135717
levees,43,154.2317,494.2108182312012,0.009002685546875,2.522857666015625,884.4020249048867,11.280638072766411
levees,44,156.2306,497.3151110694885,0.008270263671875,1.83984375,862.3035661909266,10.998769976925086
levees,45,157.9507,500.3442340797424,0.00771331787109375,1.7267684936523438,841.4230584038604,10.732436969436995
levees,46,160.1512,503.3066185623169,0.0069427490234375,1.6952285766601562,822.8845784929067,10.495976766491157
levees,47,162.5279,506.221452960968,0.00653839111328125,2.3526763916015625,809.6762218475343,10.327502829687937
levees,48,164.2068,509.0693955436707,0.00640106201171875,1.5164222717285156,791.0951618618533,10.090499513544048
levees,49,165.6364,511.8709025753021,0.0063018798828125,3.340728759765625,778.1963976754014,9.925974460145426
levees,50,166.8632,514.6149355384827,0.00601959228515625,1.8218460083007812,762.2313786612583,9.722339013536457
levees,51,168.6694,517.3198548103333,0.00562286376953125,2.1196441650390625,751.3664644029443,9.583755923506942
levees,52,169.8782,519.9737229103089,0.00508880615234375,1.9410476684570312,737.1855833265626,9.402877338349013
levees,53,171.2593,522.6161172962188,0.00457000732421875,1.3068695068359375,733.9984405305385,9.362225006767073
levees,54,172.4284,525.214011441803,0.00408172607421875,1.6301116943359375,721.6372626622716,9.204556921712648
levees,55,173.6228,527.7767302772522,0.00371551513671875,1.9886703491210938,711.8663431803421,9.079927846688038
levees,56,174.9073,530.3270273395539,0.00341033935546875,1.6584014892578125,708.415850639344,9.03591646223653
levees,57,176.7829,532.8367151592255,0.00334930419921875,1.3129539489746094,697.1355054643407,8.892034508473733
levees,58,178.392,535.364245412445,0.00325775146484375,1.151153564453125,702.0917370054274,8.955251747518206
