run,hour,wet_area_km2,volume_mil_m3,dz_median_m,dz_max_m,dV_dt_m3s,dV_dt_pct_inflow
levees,34,148.2794,480.7537664447784,0.01674652099609375,2.2513427734375,1208.3185077243286,15.412225863830722
levees,35,151.7175,484.9976061920166,0.014617919921875,1.3609542846679688,1178.8443742328209,15.036280283581899
levees,36,154.3195,489.13023362541196,0.012786865234375,1.4925613403320312,1147.9520648320513,14.642245724898615
levees,37,156.6306,493.1517004009247,0.0112457275390625,2.1002120971679688,1117.074104309097,14.248394187616034
levees,38,158.8245,497.09204820709226,0.00981903076171875,2.6590576171875,1094.5410572687642,13.960982873326074
levees,39,161.2276,500.97420129585265,0.0086212158203125,2.0077972412109375,1078.3758579889973,13.754794107002516
levees,40,164.1669,504.7837647338867,0.0075836181640625,1.528228759765625,1058.2120661205686,13.497602884190925
levees,41,165.9896,508.5327651359558,0.0066680908203125,2.3694229125976562,1041.38900057475,13.283022966514668
levees,42,167.3363,512.2257134716034,0.0058746337890625,1.899200439453125,1025.8189821243332,13.084425792402211
levees,43,168.8614,515.874464195633,0.0052642822265625,1.7017822265625,1013.5418677859951,12.927829946249938
levees,44,169.978,519.4777989257813,0.00469207763671875,1.94940185546875,1000.9263139300767,12.766917269516284
levees,45,171.235,523.0533035614013,0.00406646728515625,1.2621002197265625,993.1957321166843,12.668312909651586
levees,46,173.2748,526.575023210907,0.00348663330078125,1.2642288208007812,978.2554581960312,12.477748191275909
levees,47,176.1371,530.126409249878,0.0029754638671875,2.32904052734375,986.4961219363661,12.582858698167934
levees,48,178.0276,533.6291908126831,0.0025177001953125,1.2598876953125,972.9948785569794,12.410648961185961
levees,49,179.563,537.1057305583954,0.00229644775390625,1.649017333984375,965.7054849200917,12.317672001531783
levees,50,182.5447,540.5981423648834,0.002044677734375,2.1727371215820312,970.1143906911133,12.373908044529507
levees,51,184.7282,544.050769935608,0.00197601318359375,2.0146408081054688,959.0632140901474,12.232949159313105
levees,52,186.2208,547.4850429794311,0.00205230712890625,2.2101593017578125,953.9647343953245,12.167917530552609
levees,53,187.5467,550.8971075832367,0.00205230712890625,1.5083389282226562,947.7957232793225,12.089231164277074
levees,54,189.2762,554.3178827610016,0.0021514892578125,2.5779571533203125,950.2153271569114,12.120093458634074
levees,55,190.3918,557.7092107070923,0.002105712890625,1.262176513671875,942.0355405807692,12.01575944618328
levees,56,191.1829,561.0820957122803,0.002044677734375,1.4793243408203125,936.9125014411061,11.950414559197782
levees,57,192.1087,564.414562802124,0.00203704833984375,1.1636886596679688,925.685302734362,11.80721049406074
levees,58,193.5041,567.766150315857,0.00202178955078125,2.121490478515625,930.9965315924906,11.874955760108298
levees,59,194.166,571.0805554359436,0.002227783203125,1.3079566955566406,920.6680889129377,11.743215419807878
levees,60,194.8417,574.3718912059784,0.00232696533203125,1.2099151611328125,914.2599361207873,11.661478777050858
levees,61,195.4563,577.6406309082031,0.0023193359375,1.1736907958984375,907.9832506179741,11.581419012984364
levees,62,196.185,580.8896324855805,0.00235748291015625,1.2821578979492188,902.5004381603848,11.511485180617152
levees,63,197.1322,584.0870199127197,0.00240325927734375,1.8349227905273438,888.1631742053426,11.328611915884473
levees,64,199.8345,587.315450724411,0.00283050537109375,2.2229461669921875,896.7863365809118,11.438601231899385
levees,65,200.9347,590.4949484512329,0.00347137451171875,1.8868179321289062,883.1938130060735,11.26522720671012
levees,66,201.6131,593.6377378456116,0.0037689208984375,1.4055252075195312,872.99705399409,11.135166505026659
levees,67,202.4602,596.7357911571503,0.00395965576171875,1.4237594604492188,860.5703643163073,10.97666281015698
levees,68,203.3098,599.7867724739075,0.003814697265625,1.1345291137695312,847.494810210334,10.809882783295075
levees,69,204.2654,602.7870364387512,0.0040130615234375,1.8104095458984375,833.4066569010348,10.630186950268302
levees,70,204.8264,605.7173478408813,0.00421905517578125,1.8414840698242188,813.9753894805797,10.382339151538005
